fecha_hora,fecha,RECORD,SlrFD_W_Avg,Rain_mm_Tot,Strikes_Tot,Dist_km_Avg,WS_ms_Avg,WindDir,MaxWS_ms_Avg,AirT_C_Avg,VP_mbar_Avg,BP_mbar_Avg,ETos,Rso,RH,RHT_C,TiltNS_deg_Avg,TiltWE_deg_Avg,SlrTF_MJ_Tot,CVMeta,Invalid_Wind,TT_C_Avg,SBT_C_Avg,SHF_Avg,NR_Wm2_Avg,CNR_Wm2_Avg,Temp_TC1_C_Avg,Temp_TC2_C_Avg,SWC_5CM_Avg,SWC_40CM_Avg,archivo_origen
2025-09-02 10:00:00,2025-09-02,94,58.67,0,0,0,0.605,283.8,1.627,9.47,11.78333,1019.481,0.032,2.1959999999999997,98.4,10.1,0.017,2.2670000000000003,0.21120000000000003,013CAMPBELLCLIM50535VUE-500004413,0,10.61,9.66,-4.726999999999999,43.49,43.49,9.19,9.19,0.376,0.48600000000000004,5000
2025-09-02 11:00:00,2025-09-02,95,82.2,0,0,0,0.587,275.2,1.583,9.950000000000001,11.78333,1019.664,0.047,2.582,95.8,11,0.083,2.233,0.29580000000000006,013CAMPBELLCLIM50535VUE-500004413,0,11.48,10.61,-4.436000000000001,85,85,10.04,10.04,0.378,0.48600000000000004,5000
2025-09-02 12:00:00,2025-09-02,96,76.5,0,0,0,0.728,142.1,1.828,10.55,11.866670000000001,1019.748,0.045,2.745,91.8,11.4,0.1,2.3,0.27540000000000003,013CAMPBELLCLIM50535VUE-500004413,0,11.870000000000001,11.2,-4.015,66.59,66.59,10.97,10.97,0.385,0.48600000000000004,5000
2025-09-02 13:00:00,2025-09-02,97,167.2,0,0,0,0.892,178.7,2.182,11.25,12,1019.398,0.098,2.671,88.1,13,0.183,2.3,0.6018,013CAMPBELLCLIM50535VUE-500004413,0,14.44,12.34,-3.497,173.3,173.3,12.12,12.12,0.394,0.48700000000000004,5000
2025-09-02 14:00:00,2025-09-02,98,194.8,0,0,0,0.7979999999999999,151.9,1.96,12.229999999999999,12.05,1019.081,0.116,2.3699999999999997,81.8,14.5,0.133,2.367,0.7013999999999999,013CAMPBELLCLIM50535VUE-500004413,0,16.18,13.709999999999999,-2.863,192.4,192.4,13.62,13.62,0.391,0.48800000000000004,5000
2025-09-02 15:00:00,2025-09-02,99,181.2,0,0,0,0.8380000000000001,181.8,1.98,13.18,12,1018.8309999999999,0.11,1.866,77.7,14.8,0.117,2.2670000000000003,0.6522,013CAMPBELLCLIM50535VUE-500004413,0,16.479999999999997,14.94,-2.0589999999999997,160.4,160.4,14.97,14.98,0.39,0.48800000000000004,5000
2025-09-02 16:00:00,2025-09-02,100,176,0,0,0,1.208,156.5,3.1470000000000002,13.15,11.8,1019.031,0.097,1.2089999999999999,76.7,14.7,0.083,2.233,0.6336,013CAMPBELLCLIM50535VUE-500004413,0,15.65,14.139999999999999,-1.135,153.6,153.6,15.2,15.209999999999999,0.389,0.48800000000000004,5000
2025-09-02 17:00:00,2025-09-02,101,181.8,0,0,0,1.117,201.5,3.202,13.38,11.46667,1019.231,0.068,0.48200000000000004,73.2,14.9,0.133,2.25,0.6546000000000001,013CAMPBELLCLIM50535VUE-500004413,0,15.229999999999999,14.5,-0.28600000000000003,106.7,106.7,15.25,15.25,0.388,0.48800000000000004,5000
2025-09-02 18:00:00,2025-09-02,102,64.33,0,0,0,0.9480000000000001,177.3,2.397,13.07,11.05,1019.681,0.027,0,73.2,13.3,0.067,2.367,0.2316,013CAMPBELLCLIM50535VUE-500004413,0,12.75,13.370000000000001,0.33699999999999997,-3.738,-3.738,14.729999999999999,14.739999999999998,0.387,0.48800000000000004,5000
2025-09-02 19:00:00,2025-09-02,103,8.33,0,0,0,0.7969999999999999,141.3,1.897,12.370000000000001,10.75,1020.114,0.01,0,76.5,12.2,0,2.233,0.03,013CAMPBELLCLIM50535VUE-500004413,0,11.28,12.09,0.691,-33.83,-33.83,13.31,13.32,0.387,0.48700000000000004,5000
